[INFO][29664][23076]--2020-03-20 15:12:45,238--[test_get_weather.py test_get_weather_by_default 44]: http://api.help.bj.cn/apis/weather/
[INFO][34408][3732]--2020-03-20 15:29:00,588--[test_get_weather.py test_get_weather_by_shenzhen 34]: 城市名称：深圳； CityCode: 101280601
[INFO][3652][22156]--2020-03-20 15:31:33,780--[test_get_weather.py test_get_weather_by_default 43]: http://api.help.bj.cn/apis/weather/
[INFO][19544][17948]--2020-03-20 15:31:44,321--[test_get_weather.py test_get_weather_by_default 43]: http://api.help.bj.cn/apis/weather/
[INFO][17028][12656]--2020-03-20 15:32:43,133--[test_get_weather.py test_get_weather_by_default 43]: http://api.help.bj.cn/apis/weather/
[INFO][17028][12656]--2020-03-20 15:32:43,317--[test_get_weather.py test_get_weather_by_shenzhen 30]: 获取城市编码...
[INFO][17028][12656]--2020-03-20 15:32:43,318--[test_get_weather.py test_get_weather_by_shenzhen 34]: 城市名称：深圳； CityCode: 101280601
[INFO][25072][5544]--2020-03-20 15:33:12,050--[test_get_weather.py test_get_weather_by_default 43]: http://api.help.bj.cn/apis/weather/
[INFO][25072][5544]--2020-03-20 15:33:12,259--[test_get_weather.py test_get_weather_by_shenzhen 30]: 获取城市编码...
[INFO][25072][5544]--2020-03-20 15:33:12,260--[test_get_weather.py test_get_weather_by_shenzhen 34]: 城市名称：深圳； CityCode: 101280601
[INFO][32432][23688]--2020-03-20 15:37:22,581--[test_get_weather.py test_get_weather_by_default 43]: http://api.help.bj.cn/apis/weather/
[INFO][32432][23688]--2020-03-20 15:37:22,822--[test_get_weather.py test_get_weather_by_shenzhen 30]: 获取城市编码...
[INFO][32432][23688]--2020-03-20 15:37:22,823--[test_get_weather.py test_get_weather_by_shenzhen 34]: 城市名称：深圳； CityCode: 101280601
[INFO][25824][26500]--2020-03-20 15:43:03,134--[test_get_weather.py test_get_weather_by_default 43]: http://api.help.bj.cn/apis/weather/
[INFO][25824][26500]--2020-03-20 15:43:03,402--[test_get_weather.py test_get_weather_by_shenzhen 30]: 获取城市编码...
[INFO][25824][26500]--2020-03-20 15:43:03,402--[test_get_weather.py test_get_weather_by_shenzhen 34]: 城市名称：深圳； CityCode: 101280601
[INFO][26596][17696]--2020-03-20 15:47:00,882--[test_get_weather.py test_get_weather_by_default 45]: http://api.help.bj.cn/apis/weather/
[INFO][26596][17696]--2020-03-20 15:47:01,303--[test_get_weather.py test_get_weather_by_shenzhen 32]: 获取城市编码...
[INFO][26596][17696]--2020-03-20 15:47:01,304--[test_get_weather.py test_get_weather_by_shenzhen 36]: 城市名称：深圳； CityCode: 101280601
[INFO][16876][2220]--2020-03-20 15:50:41,115--[test_get_weather.py test_get_weather_by_default 45]: http://api.help.bj.cn/apis/weather/
[INFO][16876][2220]--2020-03-20 15:50:41,369--[test_get_weather.py test_get_weather_by_shenzhen 32]: 获取城市编码...
[INFO][16876][2220]--2020-03-20 15:50:41,370--[test_get_weather.py test_get_weather_by_shenzhen 36]: 城市名称：深圳； CityCode: 101280601
[INFO][10732][28084]--2020-03-20 15:51:43,360--[test_get_weather.py test_get_weather_by_default 45]: http://api.help.bj.cn/apis/weather/
[INFO][10732][28084]--2020-03-20 15:51:43,630--[test_get_weather.py test_get_weather_by_shenzhen 32]: 获取城市编码...
[INFO][10732][28084]--2020-03-20 15:51:43,631--[test_get_weather.py test_get_weather_by_shenzhen 36]: 城市名称：深圳； CityCode: 101280601
[INFO][24828][3812]--2020-03-20 15:52:33,783--[test_get_weather.py test_get_weather_by_default 45]: http://api.help.bj.cn/apis/weather/
[INFO][24828][3812]--2020-03-20 15:52:34,011--[test_get_weather.py test_get_weather_by_shenzhen 32]: 获取城市编码...
[INFO][24828][3812]--2020-03-20 15:52:34,012--[test_get_weather.py test_get_weather_by_shenzhen 36]: 城市名称：深圳； CityCode: 101280601
[INFO][31104][25504]--2020-03-20 15:53:34,783--[test_get_weather.py test_get_weather_by_shenzhen 32]: 获取城市编码...
[INFO][31104][25504]--2020-03-20 15:53:34,784--[test_get_weather.py test_get_weather_by_shenzhen 36]: 城市名称：深圳； CityCode: 101280601
[INFO][26344][23980]--2020-03-20 15:53:53,467--[test_get_weather.py test_get_weather_by_shenzhen 32]: 获取城市编码...
[INFO][26344][23980]--2020-03-20 15:53:53,468--[test_get_weather.py test_get_weather_by_shenzhen 36]: 城市名称：深圳； CityCode: 101280601
[ERROR][9000][4704]--2020-03-21 00:48:30,993--[ssh.py connect 38]: timed out
[ERROR][19252][18484]--2020-03-21 00:52:24,765--[ssh.py connect 38]: timed out
